"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"EZH2",0.00426176279318106,0.025821268688097,0.407017918923954,-0.45651518996464,-1.70846412414855,34,"AR",2,87
"EZH2",0.0822510822510823,0.217227217227217,0.186432558434075,0.31992407461344,1.31082154425557,83,"AR",18,87
"FLI1",0.0125798695391051,0.0544575772057205,0.380730400722792,0.25707174257972,1.31251016174715,516,"AR",17,87
"FOS",0.0676779463243874,0.188400769497619,0.184706471207739,0.237518941975584,1.19904476681423,437,"AR",32,87
"FOSL2",0.849194729136164,0.947015739442107,0.038875878582578,0.19361880527371,0.78827902407553,82,"AR",98,87
"FOXA1",0.0146241043124986,0.0557882497847169,0.380730400722792,0.336688094909693,1.46176859020992,119,"AR",9,87
"FOXA2",0.140883977900552,0.296143871913406,0.135740943810425,0.264940724610216,1.19698242501764,154,"AR",35,87
"FOXM1",1.67991889353899e-10,1.73031646034516e-08,0.826657301178302,0.593370815889302,2.4157868705103,82,"AR",1,87
"FOXP2",0.00305208450877662,0.0196477940252495,0.431707695803346,0.36574135724937,1.60267949303514,123,"AR",3,87
"GABPA",0.0274949083503055,0.101141984288624,0.276500599254472,0.218100853421787,1.17143164640432,1553,"AR",42,87
"GATA1",0.78879813302217,0.925112270906663,0.031636972118622,0.176419806340504,0.892592336393356,453,"AR",88,87
"GATA2",0.852668213457077,0.947015739442107,0.0274480081801021,0.170870057613762,0.865021837742706,448,"AR",91,87
"HDAC2",0.533802816901408,0.756094182825485,0.0584693210386381,0.222015594518082,0.960867441089766,116,"AR",75,87
"HNF4A",0.638487208008899,0.843130543909187,0.0393561959521291,0.184472439160992,0.95404827667868,622,"AR",77,87
"IRF1",0.204026845637584,0.382086638194021,0.107972360317345,0.247331592786163,1.13961090550615,181,"AR",50,87
"IRF3",0.000407180905819821,0.00524245416243019,0.49849310876659,0.289104162672187,1.46271649070145,453,"AR",7,87
"IRF8",0.159879336349925,0.316684070077735,0.132846300606183,0.335284072471964,1.24442234195406,48,"AR",25,87
